lineage	num_taxa	earliest_date	latest_date	countries	hosts
A	7	2023-06-21	2024-07-19	cote_d_ivoire;france	homo_sapiens
B	44	2023-01-01	2023-01-01	senegal	homo_sapiens
C	27	2016-01-01	2025-05-08	china;indonesia;philippines	homo_sapiens
C.1	10	2016-01-08	2019-11-01	argentina;colombia;cuba;guadeloupe;nicaragua	aedes_aegypti;homo_sapiens
C.1.1	6	2016-01-20	2016-03-21	paraguay	homo_sapiens
D	5	2016-03-28	2023-04-20	argentina;nicaragua;spain;thailand	aedes_aegypti;aedes_albopictus;homo_sapiens
E	141	2016-01-01	2024-08-09	australia;china;hong_kong;india;japan;myanmar;pakistan;saudi_arabia;sri_lanka	aedes_aegypti;culicidae;homo_sapiens
E.1	9	2025-01-01	2025-06-13	china;sri_lanka	homo_sapiens
E.2	11	2016-05-07	2016-06-01	kenya	homo_sapiens
E.3	4	2017-06-01	2017-09-06	malaysia	homo_sapiens
E.4	16	2019-03-30	2019-08-02	maldives	homo_sapiens
E.5	120	2016-01-26	2019-12-15	djibouti;kenya;sudan	homo_sapiens
E.6	275	2017-01-01	2023-12-24	australia;bangladesh;cambodia;china;finland;malaysia;myanmar;singapore;south_korea;thailand	aedes_aegypti;homo_sapiens
E.6.1	10	2017-01-01	2017-09-30	italy	aedes_albopictus;homo_sapiens
F	21	2016-05-11	2019-03-26	angola;china;democratic_republic_of_the_congo;republic_of_the_congo	aedes_aegypti;aedes_albopictus;homo_sapiens
G	200	2016-10-20	2025-04-14	cameroon;france;mayotte;reunion	homo_sapiens
G.1	33	2025-01-01	2025-08-01	china	culicidae;homo_sapiens
H	1276	2016-01-13	2023-08-05	argentina;brazil;haiti;paraguay;spain	aedes_aegypti;aedes_albopictus;culex_quinquefasciatus;homo_sapiens
H.1	4	2018-06-25	2018-07-10	paraguay	homo_sapiens
H.2	80	2022-01-01	2023-05-25	argentina;brazil;uruguay	homo_sapiens
O	872	1952-01-01	2021-10-01	angola;anguilla;antigua_and_barbuda;argentina;aruba;bahamas;bangladesh;barbados;bolivia;borneo;brazil;british_virgin_islands;cambodia;cameroon;cayman_islands;central_african_republic;china;colombia;comoros;cote_d_ivoire;democratic_republic_of_the_congo;dominica;dominican_republic;ecuador;el_salvador;france;french_guiana;french_polynesia;gabon;grenada;guadeloupe;guatemala;guyana;haiti;honduras;india;indonesia;italy;jamaica;kenya;kiribati;laos;madagascar;malaysia;martinique;mauritius;mayotte;mexico;micronesia;montserrat;myanmar;new_caledonia;nicaragua;nigeria;panama;papua_new_guinea;paraguay;philippines;republic_of_the_congo;russia;saint_kitts_and_nevis;saint_lucia;saint_martin;saint_vincent_and_the_grenadines;samoa;senegal;singapore;south_africa;sri_lanka;suriname;tanzania;thailand;timor-leste;tonga;trinidad_and_tobago;turks_and_caicos_islands;uganda;usa;venezuela;yemen	aedes_aegypti;aedes_africanus;aedes_albopictus;aedes_dalzieli;aedes_furcifer;aedes_hensilli;aedes_luteocephalus;aedes_opok;anopheles_funestus;chiroptera;culicidae;homo_sapiens;macaca_fascicularis;mus
