taxon	lineage
PQ483510|homo_sapiens|cote_d_ivoire|2024-07-16	A
PQ483512|homo_sapiens|cote_d_ivoire|2023-08-10	A
PQ483515|homo_sapiens|france|2024-07-19	A
PQ483514|homo_sapiens|cote_d_ivoire|2024-07-19	A
PQ483509|homo_sapiens|cote_d_ivoire|2024-05-25	A
PQ483513|homo_sapiens|cote_d_ivoire|2023-06-21	A
PQ483508|homo_sapiens|cote_d_ivoire|2024-07-07	A
PP236748|homo_sapiens|senegal|2023-01-01	B
PP236754|homo_sapiens|senegal|2023-01-01	B
PP196610|homo_sapiens|senegal|2023-01-01	B
PP196609|homo_sapiens|senegal|2023-01-01	B
PP236753|homo_sapiens|senegal|2023-01-01	B
PP196608|homo_sapiens|senegal|2023-01-01	B
PP196607|homo_sapiens|senegal|2023-01-01	B
PP236751|homo_sapiens|senegal|2023-01-01	B
PP196604|homo_sapiens|senegal|2023-01-01	B
PP196603|homo_sapiens|senegal|2023-01-01	B
PP196598|homo_sapiens|senegal|2023-01-01	B
PP196597|homo_sapiens|senegal|2023-01-01	B
PP236745|homo_sapiens|senegal|2023-01-01	B
PP196592|homo_sapiens|senegal|2023-01-01	B
PP196591|homo_sapiens|senegal|2023-01-01	B
PP236746|homo_sapiens|senegal|2023-01-01	B
PP196594|homo_sapiens|senegal|2023-01-01	B
PP196593|homo_sapiens|senegal|2023-01-01	B
PP236750|homo_sapiens|senegal|2023-01-01	B
PP196602|homo_sapiens|senegal|2023-01-01	B
PP196601|homo_sapiens|senegal|2023-01-01	B
PP236743|homo_sapiens|senegal|2023-01-01	B
PP196588|homo_sapiens|senegal|2023-01-01	B
PP196587|homo_sapiens|senegal|2023-01-01	B
PP236756|homo_sapiens|senegal|2023-01-01	B
PP196614|homo_sapiens|senegal|2023-01-01	B
PP196613|homo_sapiens|senegal|2023-01-01	B
PP236755|homo_sapiens|senegal|2023-01-01	B
PP196612|homo_sapiens|senegal|2023-01-01	B
PP196611|homo_sapiens|senegal|2023-01-01	B
PP236752|homo_sapiens|senegal|2023-01-01	B
PP196606|homo_sapiens|senegal|2023-01-01	B
PP196605|homo_sapiens|senegal|2023-01-01	B
PP236749|homo_sapiens|senegal|2023-01-01	B
PP196600|homo_sapiens|senegal|2023-01-01	B
PP196599|homo_sapiens|senegal|2023-01-01	B
PP236744|homo_sapiens|senegal|2023-01-01	B
PP236747|homo_sapiens|senegal|2023-01-01	B
PP196596|homo_sapiens|senegal|2023-01-01	B
PP196595|homo_sapiens|senegal|2023-01-01	B
PP196590|homo_sapiens|senegal|2023-01-01	B
PP196589|homo_sapiens|senegal|2023-01-01	B
PP236742|homo_sapiens|senegal|2023-01-01	B
PP196586|homo_sapiens|senegal|2023-01-01	B
