accession	Pango_lineage	clade	genotype	CHIKVnext_lineage
PQ483510	A	I-WestAfrica	West African	
PQ483512	A	I-WestAfrica	West African	
PQ483515	A	I-WestAfrica	West African	
PQ483514	A	I-WestAfrica	West African	
PQ483509	A	I-WestAfrica	West African	
PQ483513	A	I-WestAfrica	West African	
PQ483508	A	I-WestAfrica	West African	
PP236748	B	I-WestAfrica		
PP236754	B	I-WestAfrica		
PP196610	B	I-WestAfrica	West African	
PP196609	B	I-WestAfrica	West African	
PP236753	B	I-WestAfrica		
PP196608	B	I-WestAfrica	West African	
PP196607	B	I-WestAfrica	West African	
PP236751	B	I-WestAfrica		
PP196604	B	I-WestAfrica	West African	
PP196603	B	I-WestAfrica	West African	
PP196598	B	I-WestAfrica	West African	
PP196597	B	I-WestAfrica	West African	
PP236745	B	I-WestAfrica		
PP196592	B	I-WestAfrica	West African	
PP196591	B	I-WestAfrica	West African	
PP236746	B	I-WestAfrica		
PP196594	B	I-WestAfrica	West African	
PP196593	B	I-WestAfrica	West African	
PP236750	B	I-WestAfrica		
PP196602	B	I-WestAfrica	West African	
PP196601	B	I-WestAfrica	West African	
PP236743	B	I-WestAfrica		
PP196588	B	I-WestAfrica	West African	
PP196587	B	I-WestAfrica	West African	
PP236756	B	I-WestAfrica		
PP196614	B	I-WestAfrica	West African	
PP196613	B	I-WestAfrica	West African	
PP236755	B	I-WestAfrica		
PP196612	B	I-WestAfrica	West African	
PP196611	B	I-WestAfrica	West African	
PP236752	B	I-WestAfrica		
PP196606	B	I-WestAfrica	West African	
PP196605	B	I-WestAfrica	West African	
PP236749	B	I-WestAfrica		
PP196600	B	I-WestAfrica	West African	
PP196599	B	I-WestAfrica	West African	
PP236744	B	I-WestAfrica		
PP236747	B	I-WestAfrica		
PP196596	B	I-WestAfrica	West African	
PP196595	B	I-WestAfrica	West African	
PP196590	B	I-WestAfrica	West African	
PP196589	B	I-WestAfrica	West African	
PP236742	B	I-WestAfrica		
PP196586	B	I-WestAfrica	West African	
OR785139	C	III-Asian	Asian	
MF773564	C	III-Asian	Asian	Asian Urban Lineage
MT591106	C	III-Asian	Asian	Asian Urban Lineage
MT591105	C	III-Asian	Asian	Asian Urban Lineage
MT591104	C	III-Asian	Asian	Asian Urban Lineage
MT591089	C	III-Asian	Asian	Asian Urban Lineage
MT591088	C	III-Asian	Asian	Asian Urban Lineage
MT591091	C	III-Asian	Asian	Asian Urban Lineage
MT591090	C	III-Asian	Asian	Asian Urban Lineage
MT591087	C	III-Asian	Asian	Asian Urban Lineage
MT591086	C	III-Asian	Asian	Asian Urban Lineage
OK655884	C	III-Asian	Asian	Asian Urban Lineage
OK655883	C	III-Asian	Asian	Asian Urban Lineage
MT591107	C	III-Asian	Asian	Asian Urban Lineage
PP554682	C	III-Asian		
PP798381	C	III-Asian		
PV805110	C	III-Asian	Asian genotype	
OK316996	C	III-Asian		Asian Urban Lineage
OK316995	C	III-Asian		Asian Urban Lineage
OK316989	C	III-Asian		Asian Urban Lineage
OK316990	C	III-Asian		Asian Urban Lineage
OK316991	C	III-Asian		Asian Urban Lineage
OK316992	C	III-Asian		Asian Urban Lineage
PX929694	C	III-Asian		
OK316993	C	III-Asian		Asian Urban Lineage
OK316994	C	III-Asian		Asian Urban Lineage
PX929693	C	III-Asian		
KX496989	C.1	III-Asian		Asian Urban + American Lineage
KY703917	C.1	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LC259092	C.1	III-Asian		Asian Urban + American Lineage
OR631905	C.1	III-Asian	Asian and Caribbean	
OR631904	C.1	III-Asian	Asian and Caribbean	
OR631903	C.1	III-Asian	Asian and Caribbean	
OR631902	C.1	III-Asian	Asian and Caribbean	
OR488125	C.1	III-Asian		
OR488124	C.1	III-Asian		
OR488123	C.1	III-Asian		
MT038398	C.1.1	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MT038397	C.1.1	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MT038394	C.1.1	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MT038395	C.1.1	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MT038396	C.1.1	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
